batch_number,file_count,total_change
1,97,2342
2,97,2342
3,97,2342
4,97,2342
5,97,2342
6,96,2334
7,96,2336
8,96,2336
9,96,2336
10,96,2336
11,96,2336
12,96,2344
13,96,2344
14,96,2346
15,96,2336
16,96,2336
17,96,2336
18,96,2336
19,96,2336
20,96,2338
