timestamp,level,count
2025-04-21 00:00:00,DEBUG,2156286
2025-04-21 00:00:00,ERROR,10642
2025-04-21 00:00:00,INFO,989
2025-04-21 00:30:00,DEBUG,1739147
2025-04-21 00:30:00,ERROR,11218
2025-04-21 00:30:00,INFO,230
2025-04-21 00:30:00,WARN,2
2025-04-21 01:00:00,DEBUG,1863557
2025-04-21 01:00:00,ERROR,9098
2025-04-21 01:00:00,INFO,199
2025-04-21 01:30:00,DEBUG,1529625
2025-04-21 01:30:00,ERROR,6500
2025-04-21 01:30:00,INFO,194
2025-04-21 02:00:00,DEBUG,2076595
2025-04-21 02:00:00,ERROR,9110
2025-04-21 02:00:00,INFO,211
2025-04-21 02:30:00,DEBUG,1745070
2025-04-21 02:30:00,ERROR,9384
2025-04-21 02:30:00,INFO,365
2025-04-21 03:00:00,DEBUG,1633413
2025-04-21 03:00:00,ERROR,10313
2025-04-21 03:00:00,INFO,514
2025-04-21 03:30:00,DEBUG,1603564
2025-04-21 03:30:00,ERROR,9063
2025-04-21 03:30:00,INFO,599
2025-04-21 04:00:00,DEBUG,1566261
2025-04-21 04:00:00,ERROR,9166
2025-04-21 04:00:00,INFO,975
2025-04-21 04:30:00,DEBUG,954793
2025-04-21 04:30:00,ERROR,7962
2025-04-21 04:30:00,INFO,1005
2025-04-21 04:30:00,WARN,1
2025-04-21 05:00:00,DEBUG,722072
2025-04-21 05:00:00,ERROR,7813
2025-04-21 05:00:00,INFO,747
2025-04-21 05:30:00,DEBUG,1111737
2025-04-21 05:30:00,ERROR,9093
2025-04-21 05:30:00,INFO,977
2025-04-21 06:00:00,DEBUG,544954
2025-04-21 06:00:00,ERROR,1311
2025-04-21 06:00:00,INFO,174
2025-04-21 06:30:00,DEBUG,936454
2025-04-21 06:30:00,ERROR,6474
2025-04-21 06:30:00,INFO,417
